Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange Amount,Binance,OKX,Coinbase,Bybit,Exchange,Description
POLX,Polylastic,,"May 10, 2023",--,--,--,1.6e-05,1270000.0,1660000.0,0,0,0,0,0,,Digital Asset Indexes Protocol
MARS4,Mars4,,"May 06, 2023",--,--,--,0.00095,3810000.0,3980000.0,2,0,0,0,0,,Interactive 3D metaverse game
ARPA,ARPA,,"Apr 25, 2023",--,$ Millions,--,0.045,45040000.0,96780000.0,23,1,0,1,0,,Decentralized secure computation network
POND,Marlin,,"Apr 23, 2023",--,--,--,0.017,142040000.0,175640000.0,18,1,0,1,0,,High-performance programmable network infrastructure
MEE,Medieval Empires,,"Apr 14, 2023",--,3000000,--,0.01,0,17500000.0,2,0,0,0,1,,Adventurous Blockchain Strategy Game
EOS,EOS,,"Apr 13, 2023",--,60000000,--,0.5549,831040000.0,1160000000.0,34,1,0,1,0,,Public Blockchain
RSS3,RSS3,,"Apr 11, 2023",--,10000000,--,0.2595,175100000.0,276760000.0,13,0,1,0,0,,Open Information Layer
LAI,LayerAI,,"Apr 10, 2023",Series A,10000000,250000000,0.016,5210000.0,46870000.0,12,0,0,0,0,,ZK Layer-2 blockchain
SIN,SinVerse,,"Apr 10, 2023",--,--,--,0.0042,2840000.0,5020000.0,6,0,0,0,0,,Virtual world underworld activities game
RACA,RACA,,"Apr 05, 2023",--,16000000,--,0.00016,62530000.0,84990000.0,16,0,1,0,0,,Metaverse platform for game studios
GOAL,TopGoal,,"Apr 04, 2023",--,--,--,0.04,11560000.0,41020000.0,4,0,1,0,0,,Football metaverse
ACH,Alchemy Pay,,"Apr 03, 2023",--,10000000,400000000,0.022,173570000.0,222190000.0,25,1,0,1,0,,Payment solutions provider
APM,apM Coin,,"Mar 30, 2023",--,5000000,--,0.0045,1630000.0,9520000.0,1,0,1,0,0,,Loyalty Rewards & Payment Platform
FET,Fetch.ai,,"Mar 29, 2023",--,40000000,250000000,1.43,1210000000.0,3780000000.0,32,1,0,1,0,,Blockchain platform based on artificial intelligence and machine learning
NULS,NULS,,"Mar 29, 2023",--,--,--,0.3679,40100000.0,49120000.0,9,1,1,0,0,,Blockchain infrastructure for customizable services
,SO-COL,,"Mar 28, 2023",--,1500000,--,,,,0,0,0,0,0,,Web3 social platform
XRD,Radix,,"Mar 23, 2023",--,10000000,400000000,0.028,302810000.0,372150000.0,9,0,0,0,1,,Layer-one protocol
TOMI,tomi,,"Mar 21, 2023",--,40000000,--,0.1552,19520000.0,23210000.0,9,0,0,0,0,,"Decentralized, Surveillance-Free Internet Alternative"
SNX,Synthetix,,"Mar 20, 2023",--,20000000,--,1.94,635950000.0,636770000.0,41,1,0,1,0,,Decentralized synthetic asset platform
TIME,Chrono.tech,,"Mar 17, 2023",--,--,--,21.13,15030000.0,15300000.0,5,0,0,1,0,,Blockchain HR software solutions
ORBS,Orbs,,"Mar 14, 2023",--,10000000,--,0.021,95480000.0,225790000.0,17,0,1,0,0,,Public blockchain infrastructure
,Tonstarter,,"Mar 07, 2023",Seed,1500000,--,,,,0,0,0,0,0,,TON-native launchpad
BDX,Beldex,,"Feb 23, 2023",--,25000000,--,0.037,239380000.0,368470000.0,3,0,0,0,0,,Privacy-based ecosystem consisting of privacy-first decentralized applications
WIFI,WiFi Map,,"Feb 22, 2023",--,--,--,0.046,14400000.0,50930000.0,5,0,1,0,0,,WiFi super-app
SIX,SIX Network,,"Feb 19, 2023",--,--,--,0.024,6710000.0,25670000.0,4,0,0,0,0,,Blockchain infrastructure layer
YGG,Yield Guild Games,,"Feb 17, 2023",--,13800000,--,0.5685,207760000.0,568510000.0,27,1,1,0,0,,Web3 gaming guild
CTC,Creditcoin,,"Feb 08, 2023",--,--,--,0.4616,159320000.0,277010000.0,14,0,1,0,0,,Web3 Credit Protocol
CANDY,LENA,,"Jan 31, 2023",--,--,--,0.00013,0,13410.0,0,0,0,0,0,,Decentralized  NFT liquidity protocol
MASK,Mask Network,,"Jan 19, 2023",Strategic,5000000,--,2.46,246440000.0,246440000.0,33,1,0,1,0,,Web3 Portal
SIS,Symbiosis Finance,,"Jan 17, 2023",--,--,--,0.2034,13160000.0,22750000.0,6,0,1,0,0,,Cross-chain engine and interchain communication protocol
SPA,Sperax,,"Jan 12, 2023",--,--,--,0.0077,13150000.0,37580000.0,9,0,0,1,0,,Algorithmic Stablecoin Protocol
MRST,Mars,,"Dec 16, 2022",--,1000000,--,,,,0,0,0,0,0,,P2E metaverse platform
,NF3,,"Dec 09, 2022",Seed,1650000,--,,,,0,0,0,0,0,,NFT swaps & options platform
XDAO,XDAO,,"Nov 25, 2022",Financing after Listed,2300000,50000000,0.5841,13650000.0,157020000.0,0,0,0,0,0,,A multichain DAO builder for jointly managing crypto assets and DeFi projects
NOM,Onomy,,"Nov 23, 2022",Private,10000000,--,0.1096,10960000.0,18360000.0,5,0,0,0,0,,A multi-chain suite converging Forex and Decentralized Finance
