Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange,Description
,NF3,,"Dec 09, 2022",Seed,$ 1.65 M,--,,,,,
XDAO,XDAO,,"Nov 25, 2022",Financing after Listed,$ 2.3 M,$ 50 M,,,,,
NOM,Onomy,,"Nov 23, 2022",Private,$ 10 M,--,,,,,
,MAD Metaverse,,"Nov 22, 2022",Strategic,--,--,,,,,
,Precog Finance,,"Oct 22, 2022",Private,$ 3.5 M,--,,,,,
,Headquarters,,"Sep 21, 2022",Pre-Seed,$ 5 M,--,,,,,
AMB,AirDAO,,"Sep 21, 2022",--,$ 2 M,--,,,,,
,EigenLayer,,,,,,,,,,The Ethereum Restaking Collective
,AltLayer,,,,,,,,,,Execution and elastic scaling layer as blockchain
,Maple Finance,,,,,,,,,,On-chain institutional capital marketplace
,Manta Network,,,,,,,,,,Multi-modular ecosystem for ZK applications
,Amber Group,,,,,,,,,,Digital asset platform
,Celestia,,,,,,,,,,Modular consensus and data availability network
,Uniswap,,,,,,,,,,Decentralized trading protocol
,StarkNet,,,,,,,,,,decentralized ZK-Rollup
,Axelar,,,,,,,,,,Decentralized cross-chain communication network
,Astar,,,,,,,,,,Multi-chain smart contract platform
,Sommelier,,,,,,,,,,Coprocessor for Ethereum
,Avalanche,,,,,,,,,,Decentralized blockchain
,Arbitrum / Offchain Labs,,,,,,,,,,Ethereum Layer2 scaling solution
,dYdX,,,,,,,,,,Decentralized Exchange
,Solana,,,,,,,,,,High performance underlying blockchain
,Polkadot,,,,,,,,,,Cross-chain protocol
,Celo,,,,,,,,,,Mobile-first public chain
,Ripple,,,,,,,,,,International remittance solution
,MakerDAO,,,,,,,,,,Decentralized lending platform
,Coinbase,,,,,,,,,,Cryptocurrency exchange
,Nubit,,,,,,,,,,Bitcoin-Native Data Availability Layer
,Everclear,,,,,,,,,,A clearing layer for intent-based bridge
,Babylon,,,,,,,,,,Bitcoin Staking Protocol
,Polymarket,,,,,,,,,,"An unbiased, real-time prediction market"
,Berachain,,,,,,,,,,EVM-equivalent L1
,PolyHedra,,,,,,,,,,Infrastructure for Web3 Interoperability
,Drift,,,,,,,,,,"Decentralized, fully on-chain perpetual contracts exchange based on Solana"
,SHRAPNEL,,,,,,,,,,Multiplayer first-person shooter
,SynFutures,,,,,,,,,,Decentralized derivatives exchange
,SPACE ID,,,,,,,,,,Universal name service network with a one-stop identity platform
,Scroll,,,,,,,,,,A native zkEVM Layer 2 Solution for Ethereum
,0x,,,,,,,,,,"Open source, decentralized transaction infrastructure"
,Parallel Finance,,,,,,,,,,DeFi super DApp protocol
,Mina,,,,,,,,,,Lightweight Blockchain
,Gauntlet,,,,,,,,,,Simulation platform for on-chain risk management
,NYM,,,,,,,,,,Building the next generation of privacy infrastructure
,Anchorage,,,,,,,,,,Crypto custodian for institutional investors
,Solend,,,,,,,,,,Decentralized lending-borrowing protocol
,CoinList,,,,,,,,,,Token sale platform
,Matrixport,,,,,,,,,,Digital asset financial services platforms
,Acala,,,,,,,,,,Decentralized finance network
,CoinFLEX,,,,,,,,,,Crypto exchange and yield platform
,Nervos Network,,,,,,,,,,Layer1 public chain ecosystem based on PoW consensus
,Compound,,,,,,,,,,Decentralized lending platform
,Internet Computer / Dfinity,,,,,,,,,,Open-source blockchain network
,Kin,,,,,,,,,,The Community for the digital world
,Particle,,,,,,,,,,Decentralized leverage trading protocol
,Botanix,,,,,,,,,,Layer 2 EVM on Bitcoin
,Movement,,,,,,,,,,A Network of Modular Move-Based Blockchains
,MilkyWay,,,,,,,,,,Liquid staking solution for Celestia
,Tomo,,,,,,,,,,SocialFi App
,Ritual,,,,,,,,,,Decentralized AI compute platform
,Gasp,,,,,,,,,,"L2 cross-rollup protocol,"
,DappOS,,,,,,,,,,Intent execution network
,Espresso Systems,,,,,,,,,,High throughput EVM compatible privacy blockchain
,Eclipse,,,,,,,,,,"Customizable, modular rollups"
,Squid,,,,,,,,,,Cross-chain swap and liquidity routing protocol on Axelar Network
,Friends With Benefits（FWB）,,,,,,,,,,"DAO of cultural creators, thinkers, and builders"
,Grass,,,,,,,,,,Network sharing application
,Noble,,,,,,,,,,Generic asset issuance chain
,Bitfinity Network,,,,,,,,,,Layer2 for Bitcoin and other assets
,Anoma Network,,,,,,,,,,"Intent-centric, privacy-preserving protocol"
,River Financial,,,,,,,,,,Building financial services for Bitcoin
,Thetanuts Finance,,,,,,,,,,Multi-chain structured products protocol
,=nil;,,,,,,,,,,Marketplace for Zero Knowledge Proofs
,Quasar Finance,,,,,,,,,,Application-specific capital management blockchain in the Cosmos ecosystem
,Fleek,,,,,,,,,,Effortlessly build Open Web sites & apps
,Evmos / Tharsis Labs,,,,,,,,,,EVM Hub of Cosmos
,Horizo​​n Blockchain Games,,,,,,,,,,Game studio and blockchain infrastructure company
,Yellow Card,,,,,,,,,,Cryptocurrency exchange
,Nomad,,,,,,,,,,Cross-chain interoperability protoco
,Cubist,,,,,,,,,,Web3 developer tools
,Common,,,,,,,,,,Cross-functional governance and community management platform
,Aurigami,,,,,,,,,,"Lend, borrow, and earn with ease on Aurora"
,CoinDCX,,,,,,,,,,India cryptocurrency exchange
,Genies,,,,,,,,,,Avatar technology company
,Allora,,,,,,,,,,Decentralized AI platform
,DB DAO,,,,,,,,,,A decentralized protocol for community owned databases
,Terra,,,,,,,,,,Decentralized financial infrastructure
,Aleo,,,,,,,,,,Platform for private applications
,Agoric,,,,,,,,,,Layer 1 protocol
,UX Chain,,,,,,,,,,Programmable lending blockchain
,AscendEX,,,,,,,,,,Cryptocurrency exchange
,DELV,,,,,,,,,,An open source protocol for fixed and variable yield markets
,DESO,,,,,,,,,,Decentralized social blockchain
,Bluefin,,,,,,,,,,Decentralized perpetual contract protocol
,Clipper,,,,,,,,,,An exchange focused on small traders
,Notional Finance,,,,,,,,,,Decentralized lending-borrowing protocol
,CLV,,,,,,,,,,One-stop infrastructure platform for cross-chain
,Liquity,,,,,,,,,,Decentralized lending-borrowing protocol
,Overlay,,,,,,,,,,Data streams trade protocol
,Blogchain / Capsule Social,,,,,,,,,,Web3 publishing platform
,Badger DAO,,,,,,,,,,Bringing bitcoin to DeFi
,DFX Finance,,,,,,,,,,Decentralized foreign exchange protocol
,Fractal Network,,,,,,,,,,Decentralized smart contract platform
,DerivaDEX,,,,,,,,,,Decentralized derivatives exchange
,Spacemesh,,,,,,,,,,Open-source programmable cryptocurrency platform
,Handshake,,,,,,,,,,Decentralized naming and certificate authority
,Oasis Network,,,,,,,,,,Decentralized Layer1 network based on PoS consensus
,Bittensor,,,,,,,,,,Blockchain-based machine learning network
,Rio Network,,,,,,,,,,The liquid restaking network
,Cysic,,,,,,,,,,ZK Proof Generation Layer
,Stream Finance,,,,,,,,,,DeFi Credit Markets
,Sofamon,,,,,,,,,,Cultural platform for crypto natives
,Clique,,,,,,,,,,Identity oracles
,Sahara,,,,,,,,,,Decentralized AI network
,Talus,,,,,,,,,,AI blockchain platform
,Monkey Tilt,,,,,,,,,,Online gambling platform
,Canza Finance,,,,,,,,,,Non-institutional-based financial system utilizing (DeFi
,Sona.stream,,,,,,,,,,Decentralized music streaming protocol
,Bioniq,,,,,,,,,,Ordinals marketplace built on a Bitcoin L2/sidechain
,Kresko,,,,,,,,,,"Open platform for synthetic stocks, commodities, and crypto"
,Parsec,,,,,,,,,,On-chain data analytics platform
,Webb,,,,,,,,,,A multi-chain privacy hub for blockchains
,Credora,,,,,,,,,,Infrastructure for institutional credit
,REALLY,,,,,,,,,,Decentralized mobile network
,Foundation Devices,,,,,,,,,,Developer of Bitcoin-centric tools that include a hardware wallet
,Finterest,,,,,,,,,,Native Bitcoin borrowing and lending platform
,Evertas,,,,,,,,,,Cryptoasset insurance company
,Perennial,,,,,,,,,,Decentralized derivatives protocol
,Veridise,,,,,,,,,,Hardening blockchain security with formal methods
,vana,,,,,,,,,,AI digital identity generating application
,t3rn,,,,,,,,,,Interoperable smart contract hub
,Superform,,,,,,,,,,The Universal Yield Marketplace
,Kollider,,,,,,,,,,Cryptocurrency derivative exchange on Lightning Network
,Light Protocol,,,,,,,,,,The Privacy Layer for Solana
,Tapio Protocol,,,,,,,,,,Synthetic asset protocol
,Pine Street Labs,,,,,,,,,,A non-custodial API for managing wallets
,Juno,,,,,,,,,,Compliant gateway to crypto and web3
,Aspen Creek Digital Corporation,,,,,,,,,,Renewable Bitcoin mining operator
,HotStreak,,,,,,,,,,Daily fantasy sports game
,Slide,,,,,,,,,,The full web3 user experience stack
,Vespene Energy,,,,,,,,,,Bitcoin mining company
,Ponto,,,,,,,,,,Regulated payment networking infrastructure
,DSCVR,,,,,,,,,,Web3 social media platform
,Sunscreen,,,,,,,,,,Privacy engine of the new web
,Hologram,,,,,,,,,,Virtual avatar firm
,Satori,,,,,,,,,,On-chain derivatives protocol
,Branch,,,,,,,,,,Building next-gen captivating social games in web3
,Quai Network,,,,,,,,,,Open-source Proof-of-Work blockchain network
,Crusoe Energy,,,,,,,,,,Green energy company
,Space Runners,,,,,,,,,,Fashion Metaverse
,Ntropika Labs,,,,,,,,,,Research and Development team specializing  in Web3
,Structure,,,,,,,,,,Global mobile-first financial platform
,Prysm,,,,,,,,,,A group ownership platform
,Orca,,,,,,,,,,Solana-based automated market maker
,Valora,,,,,,,,,,Mobile crypto wallet for  Celo
,AladdinDAO,,,,,,,,,,Decentralized investment network
,Enso,,,,,,,,,,Universal DeFi dashboard
,Greenwood,,,,,,,,,,Wealth management platform for decentralized finance
,Keep Network,,,,,,,,,,Privacy-centric public chain infrastructure
,Bit.com,,,,,,,,,,Cryptocurrency exchange
,Goldlink,,,,,,,,,,Undercollateralized lending protocol
,MyCrypto,,,,,,,,,,Ethereum Wallet Manager Tools
,BBS Network,,,,,,,,,,Decentralized message board forum
,Thesis,,,,,,,,,,Cryptocurrency venture studio
,NuCypher,,,,,,,,,,Cryptographic Infrastructure for Privacy-Preserving Applications
,Oneshot,,,,,,,,,,A protocol for carbon credit verification
,Mel,,,,,,,,,,clean-slate Layer1
,Alta,,,,,,,,,,The new generation financial service provider
,Nocturne,,,,,,,,,,Usable on-chain privacy for Ethereum
,Paradigm,,,,,,,,,,A Decentralized Relay Protocol
,Basis,,,,,,,,,,Stable cryptocurrency protocol
,Dharma Labs,,,,,,,,,,Cryptocurrency wallet company
,Saddle Finance,,,,,,,,,,Decentralized automated market maker
,Nifty's,,,,,,,,,,Collect eco-friendly NFTs from your favorite brands and creators
,Alpha5,,,,,,,,,,Cryptocurrency derivatives exchange
,StakerDAO,,,,,,,,,,Building cross-chain financial assets in a compliant manner
,ROOK,,,,,,,,,,MEV solution
,Linen,,,,,,,,,,Self-custody Ethereum wallet
,Bloqboard,,,,,,,,,,Don-custodial digital asset lending platform
,Haja Networks,,,,,,,,,,A decentralized protocol for community owned databases
,Moola Market,,,,,,,,,,Decentralized lending-borrowing protocol
,Origo Network,,,,,,,,,,The Privacy Preserving Platform for Decentralized Applications
