Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange,Description
,Community Gaming,,7-Apr-22,Series A,$ 16 M,--,,,,,All-in-one esports competition platform
,Strata,,6-Apr-22,Seed,$ 1.5 M,--,,,,,Token launch and management protocol
HONEY,HivemapperHONEY,,5-Apr-22,--,$ 18 M,--,,,,,
,Fractal,,2-Apr-22,Seed,$ 35 M,--,,,,,NFT Game Market
ZRO,LayerZeroZRO,,30-Mar-22,Series A1,$ 135 M,$ 1 B,,,,,
,Coinbooks,,18-Mar-22,--,$ 3.2 M,--,,,,,Enterprise-grade accounting software for digital assets
,Oxio,,16-Mar-22,Series B,$ 40 M,--,,,,,Telecom-as-a-service (TAAS) platform
APT,AptosAPT,,15-Mar-22,Strategic,$ 200 M,--,,,,,
OOE,OpenOceanOOE,,9-Mar-22,Private,$ 2 M,--,,,,,
,Dialect,,2-Mar-22,Seed,$ 4.1 M,--,,,,,Messaging protocol for dapp notifications and wallet-to-wallet chat
,Marginfi,,23-Feb-22,--,$ 3 M,--,,,,,Decentralized portfolio margining protocol
,Catalog,,23-Feb-22,--,$ 7.5 M,--,,,,,Bridge-less cross-chain protocol
FLT,FluenceFLT,,17-Feb-22,Series A,$ 9 M,--,,,,,
,Ceramic Network,,16-Feb-22,Series A,$ 30 M,--,,,,,The Composable Data Network
,Portals,,11-Feb-22,Seed,$ 5 M,--,,,,,A browser-based metaverse
,Dune,,2-Feb-22,Series B,$ 69.42 M,$ 1 B,,,,,Data platform for the open web
,FTX US,,26-Jan-22,Series A,$ 400 M,$ 8 B,,,,,US-regulated cryptocurrency exchange
GAL,GalxeGAL,,25-Jan-22,--,$ 10 M,--,,,,,
,01 Exchange,,21-Jan-22,Seed,$ 2.2 M,--,,,,,Decentralized derivatives protocol
MPLX,MetaplexMPLX,,18-Jan-22,Strategic,$ 46 M,--,,,,,
,Burnt (XION),,17-Jan-22,Series A,$ 8 M,--,,,,,
,Web3Auth,,12-Jan-22,Series A,$ 13 M,--,,,,,Pluggable auth infrastructure
,Exotic markets,,5-Jan-22,--,$ 5 M,--,,,,,Positional market created around an open ended market question
RNDR,RenderRNDR,,21-Dec-21,Strategic,$ 30 M,--,,,,,
,Solscan,,16-Dec-21,Seed,$ 4 M,$ 15 M,,,,,Solana blockchain explorer
,BetDEX,,17-Nov-21,Seed,$ 21 M,$ 110 M,,,,,Sports betting exchange
CYBER,CyberCYBER,,16-Nov-21,Seed,$ 10 M,$ 50 M,,,,,
BETA,Beta FinanceBETA,,29-Oct-21,Private,$ 5.75 M,--,,,,,
,Squads,,28-Oct-21,Seed,$ 5 M,--,,,,,
DRIFT,DriftDRIFT,,26-Oct-21,Seed,$ 3.8 M,--,,,,,
SWIV,Swivel FinanceSWIV,,26-Oct-21,Strategic,$ 3.5 M,--,,,,,
,Timeswap,,22-Oct-21,Seed,--,--,,,,,AMM-based decentralized money market protocol
RBX,RabbitXRBX,,7-Oct-21,--,$ 8.5 M,$ 50 M,,,,,
ZRO,LayerZeroZRO,,16-Sep-21,Series A,$ 6 M,$ 50 M,,,,,
HNT,HeliumHNT,,13-Sep-21,Series C,$ 15 M,--,,,,,
,Eden Network,,8-Sep-21,Seed,$ 17.4 M,--,,,,,Multi-chain infrastructure provider
UXP,UXDUXP,,2-Sep-21,Seed,$ 3 M,$ 30 M,,,,,
ALI,Alethea AIALI,,24-Aug-21,--,$ 16 M,--,,,,,
,Dune,,12-Aug-21,Series A,$ 8 M,--,,,,,
HNT,HeliumHNT,,10-Aug-21,--,$ 111 M,--,,,,,
SBR,SaberSBR,,27-Jul-21,Seed,$ 7.7 M,$ 50 M,,,,,
FTT,FTXFTT,,20-Jul-21,Series B,$ 900 M,$ 18 B,,,,,
,Superfluid,,13-Jul-21,Seed,$ 9 M,--,,,,,
,Superfluid,,13-Jul-21,Seed,$ 9 M,--,,,,,
MNGO,MangoMNGO,,11-Jul-21,IDO,$ 70 M,--,,,,,
BETA,Beta FinanceBETA,,9-Jul-21,Strategic,--,--,,,,,
WLD,WorldcoinWLD,,30-Jun-21,--,$ 25 M,$ 1 B,,,,,
SOL,SolanaSOL,,9-Jun-21,--,$ 314 M,--,,,,,
,Qilin Protocol,,25-May-21,Pre-Seed,$ 0.8 M,--,,,,,Permissionless derivatives trading for any assets
,Qilin Protocol,,25-May-21,Pre-Seed,$ 0.8 M,--,,,,,
ALD,AladdinDAOALD,,25-May-21,--,--,--,,,,,
MCB,MUX ProtocolMCB,,21-May-21,--,$ 7 M,--,,,,,
,Tibles,,20-May-21,Seed,$ 1.14 M,--,,,,,Digital collecting ecosystem
GAL,GalxeGAL,,13-May-21,Seed,--,--,,,,,
,Jenny,,12-May-21,--,$ 7 M,--,,,,,Metaverse DAO and social token on Unicly
,Burnt (XION),,6-May-21,Seed,$ 3 M,--,,,,,
,Filebase,,30-Apr-21,Seed,$ 2 M,--,,,,,Object storage platform powered by decentralized storage networks
REAL,REALYREAL,,16-Apr-21,Seed,--,--,,,,,
C98,Coin98 FinanceC98,,14-Apr-21,Seed,$ 1.25 M,$ 25 M,,,,,
,Enso,,13-Apr-21,Private,$ 5 M,--,,,,,Universal DeFi dashboard
SOMM,SommelierSOMM,,10-Mar-21,--,$ 3.5 M,--,,,,,
SFI,Saffron FinanceSFI,,8-Mar-21,--,$ Millions,--,,,,,
OXY,OxygenOXY,,24-Feb-21,--,$ 40 M,--,,,,,
MANTA,Manta NetworkMANTA,,2-Feb-21,--,$ 1.1 M,--,,,,,
COMBO,FurucomboCOMBO,,7-Jan-21,Seed,$ 1.85 M,$ 9.5 M,,,,,
SWIV,Swivel FinanceSWIV,,10-Dec-20,Seed,$ 1.15 M,--,,,,,
,Oxio,,17-Nov-20,Series A,$ 12 M,--,,,,,
MATH,MathWalletMATH,,13-Oct-20,Series A1,$ 7.8 M,--,,,,,
ALPHA,StellaALPHA,,6-Oct-20,--,$ 1.67 M,$ 12.5 M,,,,,
BTRST,BraintrustBTRST,,2-Oct-20,--,$ 18 M,--,,,,,
,Dune,,23-Sep-20,Seed,$ 2 M,--,,,,,
PERP,Perpetual ProtocolPERP,,25-Aug-20,--,$ 1.8 M,$ 12 M,,,,,
AUDIO,AudiusAUDIO,,31-Jul-20,Strategic,$ 3.1 M,--,,,,,
SRM,SerumSRM,,30-Jul-20,Private,$ 20 M,--,,,,,
GRT,The GraphGRT,,30-Jun-20,Series A,$ 5 M,$ 29.4 M,,,,,
DF,dForceDF,,15-Apr-20,--,$ 1.5 M,--,,,,,
AR,ArweaveAR,,5-Nov-19,--,$ 5 M,--,,,,,
CKB,Nervos NetworkCKB,,24-Oct-19,Public Sale,$ 72 M,--,,,,,
,Oxio,,"Oct, 2019",Seed,$ 3.5 M,--,,,,,
SKL,SKALESKL,,1-Oct-19,--,$ 17.1 M,--,,,,,
SOL,SolanaSOL,,30-Jul-19,Series A,$ 20 M,--,,,,,
,Tableland,,11-Jul-19,Seed,$ 1.5 M,--,,,,,
NEAR,NEAR ProtocolNEAR,,10-Jul-19,--,$ 12.1 M,--,,,,,
,Web3Auth,,9-Jul-19,--,$ 2 M,--,,,,,
,StreamingFast,,26-Jun-19,Seed,$ 3.5 M,--,,,,,Building massively scalable architecture for streaming blockchain data
,Spring Labs,,12-Jun-19,Series A,$ 23 M,--,,,,,Financial technology company
,Tagomi,,5-Mar-19,--,$ 12 M,--,,,,,Crypto prime brokerage platform
GRT,The GraphGRT,,28-Jan-19,Seed,$ 2.5 M,$ 14.7 M,,,,,
STRK,StarkNetSTRK,,29-Oct-18,Series A,$ 30 M,--,,,,,
ALGO,AlgorandALGO,,24-Oct-18,--,$ 62 M,--,,,,,
SKL,SKALESKL,,4-Oct-18,--,$ 9.65 M,--,,,,,
ICP,Internet Computer / DfinityICP,,28-Aug-18,--,$ 102 M,$ 2 B,,,,,
CKB,Nervos NetworkCKB,,18-Jul-18,Series A,$ 28 M,--,,,,,
,Tari,,13-May-18,--,--,--,,,,,Digital assets focused blockchain protocol
SOL,SolanaSOL,,"May, 2018",Seed,--,--,,,,,
KDA,KadenaKDA,,12-Apr-18,Series B,$ 12 M,--,,,,,
,Spring Labs,,27-Mar-18,Seed,$ 14.75 M,--,,,,,
KDA,KadenaKDA,,31-Jan-18,Pre-A,$ 2.25 M,--,,,,,
ICP,Internet Computer / DfinityICP,,"Jan, 2018",Strategic,$ 20.54 M,--,,,,,
,io.net,,,,,,,,,,Decentralized computation network
,Pyth Network,,,,,,,,,,Oracle Solution
,Wormhole,,,,,,,,,,Web3 Universal Messaging Protocol
,Sei Network,,,,,,,,,,Layer 1 blockchain for digital assets exchange
,Manta Network,,,,,,,,,,Multi-modular ecosystem for ZK applications
,Worldcoin,,,,,,,,,,Inclusive cryptocurrency network
,LayerZero,,,,,,,,,,Omnichain Interoperability Protocol
,Aptos,,,,,,,,,,Scalable layer 1 blockchain
,Lido,,,,,,,,,,Liquid staking solution
,StarkNet,,,,,,,,,,decentralized ZK-Rollup
,NEAR Protocol,,,,,,,,,,Layer-one blockchain
,Helium,,,,,,,,,,Decentralized network of wireless Hotspots
,The Graph,,,,,,,,,,Decentralized protocol for indexing and querying blockchain data
,Sommelier,,,,,,,,,,Coprocessor for Ethereum
,Frax,,,,,,,,,,Stablecoin Protocol
,Solana,,,,,,,,,,High performance underlying blockchain
,Paxos,,,,,,,,,,Regulated blockchain infrastructure
,Arweave,,,,,,,,,,Decentralized Data Storage Protocol
,THORChain,,,,,,,,,,Decentralized Liquidity Network
,Bakkt,,,,,,,,,,Digital asset platform
,Drift,,,,,,,,,,"Decentralized, fully on-chain perpetual contracts exchange based on Solana"
,Cyber,,,,,,,,,,The L2 for Social
,Jito,,,,,,,,,,MEV infrastructure for Solana
,Mina,,,,,,,,,,Lightweight Blockchain
,Galxe,,,,,,,,,,Web3 credential data network
,Livepeer,,,,,,,,,,Decentralized video streaming network
,Render,,,,,,,,,,Rendering solution provider based on decentralized GPU
,Braintrust,,,,,,,,,,Decentralized Talent Network
,Audius,,,,,,,,,,Decentralized music streaming protocol
,Mango,,,,,,,,,,DeFi lending protocol
,REALY,,,,,,,,,,Live-to-Earn metaverse on Solana
,dForce,,,,,,,,,,A complete set of decentralized finance protocols
,Nervos Network,,,,,,,,,,Layer1 public chain ecosystem based on PoW consensus
,Algorand,,,,,,,,,,Decentralized blockchain infrastructure
,Internet Computer / Dfinity,,,,,,,,,,Open-source blockchain network
,Kadena,,,,,,,,,,Layer1 Blockchain with PoW as the consensus
,Coin98 Finance,,,,,,,,,,All In One DeFi Platform
,DFlow,,,,,,,,,,Decentralized order flow marketplace
,Hubble Protocol,,,,,,,,,,Solana borrowing and lending marketplace
,Genies,,,,,,,,,,Avatar technology company
,Hivemapper,,,,,,,,,,Map Internet of Things (IoT) Platform
,OpenOcean,,,,,,,,,,DeFi and CeFi full aggregator
,Fluence,,,,,,,,,,Web3 native computing platform
,Metaplex,,,,,,,,,,Solana-based NFT infrastructure
,Beta Finance,,,,,,,,,,Money market protocol
,Swivel Finance,,,,,,,,,,Protocol for Fixed Rate Lending and Tokenized Cash Flow
,MUX Protocol,,,,,,,,,,Decentralized leveraged trading protocol
,RabbitX,,,,,,,,,,Decentralised Perpetuals Trading on StarkNet
,UXD,,,,,,,,,,An anti-inflation protocol
,MobileCoin,,,,,,,,,,A private cryptocurrency
,Saber,,,,,,,,,,Automated market maker for trading assets on Solana
,Furucombo,,,,,,,,,,DeFi portal to help users optimzie DeFi strategy
,MathWallet,,,,,,,,,,The Multichain Wallet for Web3
,Flow,,,,,,,,,,"Decentralized, and developer-friendly blockchain"
,Stella,,,,,,,,,,One-stop site for builders to start Web3 projects
,SKALE,,,,,,,,,,"Ethereum native, modular blockchain network"
,Perpetual Protocol,,,,,,,,,,Decentralized perpetual contract protocol
,Fluidity,,,,,,,,,,Yield farming protocol
,FanTiger,,,,,,,,,,Music NFT Marketplace
,Seed Club,,,,,,,,,,The Leading Network for DAO Builders & Operators
,Cabin,,,,,,,,,,An emerging network city for solarpunk builders
,Salad Ventures,,,,,,,,,,P2E ecosystem catalyst and builders
,Alethea AI,,,,,,,,,,Building an Intelligent Metaverse
,AladdinDAO,,,,,,,,,,Decentralized investment network
,Saffron Finance,,,,,,,,,,Decentralised risk exchange protocol
,Keep Network,,,,,,,,,,Privacy-centric public chain infrastructure
,Grapes Finance,,,,,,,,,,Payments infrastructure powered by digital currencies
,dClimate,,,,,,,,,,Decentralized Network for Climate Data
,The Giving Block,,,,,,,,,,Fundraising Agreements Serving Nonprofits
,hawku,,,,,,,,,,Marketplace for utility and gaming NFTs
,FTX,,,,,,,,,,Cryptocurrency exchange
,Babel Finance,,,,,,,,,,Cryptocurrency financial institution
,Serum,,,,,,,,,,Decentralized Exchange built on Solana
,Oxygen,,,,,,,,,,DeFi prime brokerage service
