Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange,Description
,Mountain Protocol,,6-Jun,Series A,$ 8 M,--,,,,,Stablecoin Protocol
,El Dorado,,29-May,Seed,$ 3 M,--,,,,,Peer-to-peer cryptocurrency wallet
,Arch Network,,9-May,Seed,$ 7 M,--,,,,,Bitcoin-Native Application Platform
,BAXUS,,1-May,Seed,$ 5 M,--,,,,,Blockchain wine trading marketplace
,Mezo,,9-Apr,Series A,$ 21 M,--,,,,,Bitcoin Economic Layer
,Burnt (XION),,1-Apr,--,$ 25 M,--,,,,,Modular Generalized Abstraction layer
,Zama,,7-Mar,Series A,$ 73 M,--,,,,,Open Source Cryptographic Tools
IO,io.netIO,,5-Mar,Series A,$ 30 M,$ 1 B,,,,,
,Superfluid,,22-Feb,Strategic,$ 5.1 M,--,,,,,Stream payments protocol
,GLIF,,6-Feb,Seed,$ 4.5 M,--,,,,,Filecoins premier staking protocol
PYTH,Pyth NetworkPYTH,,5-Dec-23,--,--,--,,,,,
W,WormholeW,,29-Nov-23,--,$ 225 M,$ 2.5 B,,,,,
,Squads,,16-Oct-23,Strategic,$ 5.7 M,--,,,,,Smart account standard for SVM
,Fhenix,,26-Sep-23,Seed,$ 7 M,--,,,,,Blockchain powered by homomorphic encryption
,Circuit Trading,,22-Aug-23,--,--,--,,,,,"Decentralised, multi-chain market maker"
,FastLane,,23-May-23,Seed,$ 2.3 M,--,,,,,Hybrid MEV protocol
,Tableland,,20-Apr-23,--,$ 8 M,--,,,,,Decentralized protocol for structured relational data
SEI,Sei NetworkSEI,,11-Apr-23,Strategic,$ 30 M,$ 800 M,,,,,
,Lore,,6-Apr-23,Strategic,$ 4 M,--,,,,,The Co-Ownership Platform
,TipLink,,21-Feb-23,Seed,$ 6 M,--,,,,,Lightweight wallet
,sec3,,31-Jan-23,Seed,$ 10 M,--,,,,,Web3 Security research firm
,Heroic Story,,17-Nov-22,Seed,$ 6 M,--,,,,,Web3 gaming and entertainment studio
FLY,FluidityFLY,,1-Nov-22,Seed,$ 1.3 M,--,,,,,
,Mercury,,20-Oct-22,--,$ 7.5 M,--,,,,,Fan engagement company for collegiate sports programs
,Spindl,,20-Oct-22,Seed,$ 7 M,--,,,,,Measurement and attribution in Web3
,Blackbird,,6-Oct-22,Seed,$ 11 M,--,,,,,Web3 loyalty and payments company
,Backpack,,28-Sep-22,Strategic,$ 20 M,--,,,,,Cryptocurrency exchange and multi-chain wallet
HBB,Hubble ProtocolHBB,,8-Sep-22,Strategic,$ 5 M,--,,,,,
SEI,Sei NetworkSEI,,31-Aug-22,Seed,$ 5 M,--,,,,,
,Clockwork,,30-Aug-22,Seed,$ 4 M,--,,,,,Decentralized automation network for Solana
,Satellite IM,,11-Aug-22,Seed,$ 10.5 M,--,,,,,Decentralized communications platform
JTO,JitoJTO,,11-Aug-22,Series A,$ 10 M,--,,,,,
APT,AptosAPT,,25-Jul-22,Series A,$ 150 M,$ 2.75 B,,,,,
,Farcaster,,13-Jul-22,Seed,$ 30 M,--,,,,,Decentralized social network
,EyesFi,,24-Jun-22,--,$ 2 M,--,,,,,Generative arts-focused NFT discovery platform
,Geode Finance,,10-Jun-22,Seed,$ 3 M,--,,,,,Multichain Staking Universe
,Delphia,,8-Jun-22,Series A,$ 60 M,--,,,,,Mobile-investment platform
CLUB,Seed ClubCLUB,,18-May-22,Strategic,$ 15 M,--,,,,,
